Country,Powerplant Name,Capacity (MW),Latitude,Longitude,Primary Fuel
Germany,GMVA Niederrhein,61.5,51.4855,6.8344,Waste
Germany,GTKW Darmstadt,94.6,49.8849,8.6501,Gas
Germany,GUD-Anlage DREWSEN,13,52.6235,10.2457,Gas
Germany,Gahro Solar Power Plant,27.4,51.7306,13.6862,Solar
Germany,Gardelegen - S&Z Solar Power Plant,2.3,52.5307,11.4306,Solar
Germany,Gars,25,48.154,12.3111,Hydro
Germany,Geesthacht,119.1,53.426,10.3359,Hydro
Germany,Geisling,25,48.9748,12.344,Hydro
Germany,Gelbelsee Solar Power Plant,1.8,48.9435,11.4471,Solar
Germany,Gelchsheim Solar Power Plant,3.3,49.575,10.0001,Solar
Germany,Gelnhausen Solar Power Plant,1.4,50.2127,9.165,Solar
Germany,Gemeinschaftskraftwerk Irsching,1391,48.767,11.58,Gas
Germany,Georgsdorf Solar Power Plant,24.7,52.5909,7.084,Solar
Germany,Gergweis Solar Power Plant,1.7,48.6196,12.977,Solar
Germany,Gersteinwerk,2004.5,51.6725,7.7099,Gas
Germany,Gerstungen Solar Power Plant,3.8,50.9669,10.0631,Solar
Germany,Gerwisch Solar Power Plant,8.6,52.1841,11.7523,Solar
Germany,Geusa Solar Power Plant,5.9,51.3398,11.9631,Solar
Germany,GichtNatural Gaskraftwerk Dillingen,85,49.3548,6.7315,Other
Germany,Giebelstadt Solar Power Plant,28,49.6499,9.9653,Solar
Germany,Glau Solar Power Plant,8,52.2394,13.1449,Solar
Germany,Glebitzsch Solar Power Plant,3.9,51.5886,12.1924,Solar
Germany,Glesien Solar Power Plant,4.2,51.4452,12.2345,Solar
Germany,Global Tech I,400,54.509,6.367,Wind
Germany,Gnannenweiler Solar Power Plant,6.4,48.698,9.991,Solar
Germany,Gnoien Solar Power Plant,6.4,53.978,12.6925,Solar
Germany,Gode Wind 1 - Teil 1,263.1,54.041,6.994,Wind
Germany,Goldbach Solar Power Plant,2.8,49.999,9.2008,Solar
Germany,Goldisthal,1052,50.5098,11.0209,Hydro
Germany,Gollhofen Solar Power Plant,3,49.5756,10.1884,Solar
Germany,Goodyear - Philippsburg Solar Power Plant,7.4,49.225,8.4716,Solar
Germany,Gotha Solar Power Plant,11.8,50.9393,10.6677,Solar
Germany,Grabsleben Solar Power Plant,2.2,50.9393,10.8301,Solar
Germany,Greding Solar Power Plant,4.5,49.0897,11.328,Solar
Germany,Gribow Solar Power Plant,1,53.9597,13.4902,Solar
Germany,Grohnde,1360,52.0356,9.4135,Nuclear
Germany,Groï¿½ Stieten Solar Power Plant,6.9,53.8064,11.4629,Solar
Germany,Groï¿½engottern Solar Power Plant,2.1,51.1407,10.5654,Solar
Germany,Grubenheizkraftwerk,49,51.4627,11.714,Coal
Germany,Grï¿½den Solar Power Plant,3.4,51.4044,13.5836,Solar
Germany,Grï¿½neberg Solar Power Plant,7.5,52.8643,13.2193,Solar
Germany,GuD,100,51.2214,6.7313,Gas
Germany,GuD Anlage WVK,60.1,48.0202,7.8452,Gas
Germany,GuD Baunatal  VW WerksgelÃ¤nde,78,51.2531,9.4379,Gas
Germany,GuD Bitterfeld,106,51.6257,12.327,Gas
Germany,GuD Kraftwerk Hillegossen,37.5,52.0333,8.5333,Gas
Germany,GuD Leuna,52,51.2998,12.0193,Gas
Germany,GuD Marienehe,108,54.1255,12.0819,Gas
Germany,GuD Schwarzheide,122,51.4762,13.8891,Gas
Germany,GuD Tiefstack,127,53.5267,10.0658,Gas
Germany,GuD-Anlage,47,49.9882,9.1558,Gas
Germany,GuD-Anlage RÃ¼sselsheim,112.1,49.992,8.4141,Gas
Germany,GuD-HKW Neubrandenburg,75,53.5745,13.2951,Gas
Germany,GuD-Ikw StaÃŸfurt,132,51.8655,11.5738,Gas
Germany,GuD-Kraftwerk,17.2,49.5307,8.4709,Gas
Germany,Gummering,14.8,48.6225,12.398,Hydro
Germany,Gundelfingen - Gartner Solar Power Plant,1,48.546,10.3783,Solar
Germany,Gundellfingen - Gehrlicher Solar Power Plant,2.7,48.5393,10.3557,Solar
Germany,Gï¿½rlitz Solar Power Plant,6,51.1853,14.9662,Solar
Germany,Gï¿½ttelborn Solar Power Plant,8.4,49.3386,7.035,Solar
Germany,Gï¿½ttersdorf Solar Power Plant,1.3,48.626,12.9651,Solar
Germany,HBB,24,47.796,12.1193,Gas
Germany,HHKW Berlin-NeukÃ¶lln,16.5,52.4253,13.5173,Biomass
Germany,"HKW ""HelmshÃ¤ger Berg""",14.7,54.0973,13.385,Gas
Germany,HKW 1,23.1,51.4707,6.8616,Gas
Germany,HKW 1 Werk Offstein,30,49.5991,8.221,Gas
Germany,HKW 2,24.5,51.4707,6.8616,Gas
Germany,HKW Altenstadt,9.8,47.7971,10.8587,Biomass
Germany,HKW Bad Salzungen,9.7,50.8003,10.2206,Gas
Germany,HKW Barmen,82,51.2689,7.2003,Gas
Germany,HKW BohrhÃ¼gel,13.5,50.6315,10.6987,Gas
Germany,HKW Brandenburg,36,51.5122,13.9711,Gas
Germany,HKW Chemnitz  Nord II (Natural Gas),57.2,50.857,12.9231,Gas
Germany,HKW Dresden-Nossener BrÃ¼cke,263,51.0421,13.7086,Gas
Germany,HKW Eltmann,57,49.984,10.6514,Gas
Germany,HKW Erfurt-Ost,109.1,50.9848,11.0299,Gas
Germany,HKW Erlangen (Coal),17.4,49.5928,11.0015,Coal
Germany,HKW Erlangen (Natural Gas),28.5,49.593,11.0016,Gas
