Country,Powerplant_Name,Capacity,Latitude,Longitude,Primary_Fuel
China,Datang Nanjing Xiaguan-3 power station,1320,32.2127,119.2096,Coal
China,Datang New Energy Chayouhouqi Hanwula,49,41.3694,112.9222,Wind
China,Datang New Energy Lingao Offshore Experimental,6,20.0172,109.7072,Wind
China,Datang Ningde power station,2520,26.7575,119.7359,Coal
China,Datang Ningxia Ningdong,49,37.7396,106.4229,Wind
China,Datang Ningxia Ningdong (Baitugang Town Changliushui),49,37.7747,106.393,Wind
China,Datang Ningxia Taiyangshan Phase 2,49,37.5034,106.4418,Wind
China,Datang Ningxia Taiyangshan Phase 3,49,37.5471,106.3976,Wind
China,Datang Pingdu Xinhe,49,36.9971,119.5721,Wind
China,Datang Pingyin Phase 1 Wind,49,36.252,116.508,Wind
China,Datang Pingyin Phase 2 Wind,49,36.128,116.341,Wind
China,Datang Qingyuan Phase 2 Wind,34,36.7728,111.4175,Wind
China,Datang Qingyuan power station,600,38.7954,115.481,Coal
China,Datang Qitaihe power station,1900,45.7596,131.0536,Coal
China,Datang Qixia Sujiadian Phase 1,49,37.3958,120.7017,Wind
China,Datang Qixia Zangjiazhuang Garden,49,37.5615,120.8431,Wind
China,Datang Sanmenxia power station,2900,34.6847,111.0274,Coal
China,Datang Shentou power station,2000,39.3648,112.5333,Coal
China,Datang Shuangyashan power station,400,46.6801,131.169,Coal
China,Datang Tulufan,20,43.13,89.313,Solar
China,Datang Tuoketuo power station,6720,40.1947,111.3589,Coal
China,Datang Tuquan Laoyeling Phase 2,49,45.555,121.354,Wind
China,Datang Weihe power station,600,34.431,108.8997,Coal
China,Datang Wendeng Phase 2 Wind,49,36.96,122.11,Wind
China,Datang Wendeng Wind,49,36.9317,122.0858,Wind
China,Datang Wuan power station,600,36.8184,114.187,Coal
China,Datang Wushashan power station,2400,29.505,121.6627,Coal
China,Datang Xigu power station,990,36.1289,103.6228,Coal
China,Datang Xinyang power station,1940,32.1099,114.1406,Coal
China,Datang Xinyu power station,440,27.7763,114.9088,Coal
China,Datang Xutang power station,1200,34.3486,117.9318,Coal
China,Datang Yungang power station,1040,40.061,113.2192,Coal
China,Datang Zhaoyuan Jinling Phase 1,49,37.3156,120.2664,Wind
China,Datang Zhuzhou-2 power station,1260,27.2444,113.4603,Coal
China,Datong - SDIC Coal,270,39.9474,113.1053,Coal
China,Datong - Tashan Coal,4520,39.9261,113.0843,Coal
China,Datong power station,3990,40.0279,113.2933,Coal
China,Datun Mine power station,390,34.8684,116.9414,Coal
China,Dawalong,24,28.7,100.3,Hydro
China,Daxia,324.5,36.15,104.01,Hydro
China,Daya Bay,1888,22.6,114.54,Nuclear
China,Dayangpuzi,100.5,41.13,112.75,Wind
China,Dazhou,1400,31.11,107.48,Gas
China,Dehe Zhangbei Phase 1,49,41.0864,114.7414,Wind
China,Dehe Zhangbei Phase 2,49,41.1,114.79,Wind
China,Dengfeng-1 power station,420,34.3739,113.0552,Coal
China,Dengfeng-2 power station,1900,34.3925,113.1997,Coal
China,Dengkou,20,40.4,107.01,Solar
China,Dengxinqiao,5,32.3211,108.6056,Hydro
China,Deqin County Cizhong River,24,28.0225,98.8638,Hydro
China,Diandong Yuwang power station,1200,25.1016,104.6172,Coal
China,Diandong power station,2400,25.1995,104.6826,Coal
China,Dianta Coal,1320,38.9728,110.4514,Coal
China,Diaobingshan Wind,49,42.44,123.5128,Wind
China,Diaobingshan power station,600,42.494,123.5656,Coal
China,Diaoluohe Hydro,7,18.43,109.43,Hydro
China,Diebu Lazikou Ii Hydro,5,34.0764,103.8944,Hydro
China,Diebu Lazikou Iii,5,34.0392,103.9092,Hydro
China,Diluo Hydroelectric,100,27.5811,103.0447,Hydro
China,Dingzhou power station,2520,38.5122,114.8434,Coal
China,Diqing Prefecture Niru River Muxingtu,120,27.7341,100.2935,Hydro
China,Dong Feng,695,26.86,106.15,Hydro
China,Dong River Dongyuan,20,23.8667,114.9061,Hydro
China,Dongbaishan,15,29.4828,120.4423,Wind
China,Dongfeng Captive power station,180,32.6499,110.7383,Coal
China,Dongfeng Xiangfan Factory power station,100,32.1219,112.1713,Coal
China,Dongga Power Plant,283.5,29.65,90.959,Gas
China,Donghai Bridge,102,30.77,121.98,Wind
China,Dongjiang,500,25.87,113.31,Hydro
China,Dongling,45,32.59,120.95,Wind
China,Dongliuxi Erji,12,30.53,110.75,Hydro
China,Dongping Dam,110,30.1438,109.6162,Hydro
China,Dongshan,57.2,42.62,117.94,Wind
China,Dongtai Tidal Flat Solar Park 1,30,32.64,120.91,Solar
China,Dongtai Tidal Flat Solar Park 2,30,32.64,120.95,Solar
China,Dongtang Coal,270,23.1395,113.729,Coal
China,Dongtang Plant power station,285,23.08,113.6292,Coal
China,Dongxinrong (Huaneng),250.95,44.71,122.74,Wind
China,Dongying,7,37.48,118.75,Solar
China,Dongying Coastal power station,600,37.4288,118.8581,Coal
China,Dongying Huatai Chemical power station,200,37.409,118.8752,Coal
China,Dongyuan Tech power station,200,39.4815,106.6882,Coal
China,Dongzhangjia,50.25,42.81,124.18,Wind
China,Douhe power station,1300,39.773,118.2729,Coal
China,Duanwang Coal Mine Methane,4,37.9427,112.9673,Gas
China,Dujiawan Small,4,36.5906,102.8339,Hydro
China,Dukouba Chongqing City,129,31.14,109.05,Hydro
China,Dundunliang,52.5,37.31,105.91,Wind
China,Duolun Coal Chemical power station,280,42.2123,116.577,Coal
China,Dushanzi Ethene power station,475,44.3791,84.8671,Coal
