Country,Powerplant_Name,Capacity,Latitude,Longitude,Primary_Fuel
China,Gansu Jinta II,40,39.96,98.948,Solar
China,Gansu Kababanjiu Small,12,33.9994,103.5281,Hydro
China,Gansu Lintan Shubu Small,6,34.6166,103.2863,Hydro
China,Gansu Liujialang Expanded,10,34.4669,103.8311,Hydro
China,Gansu Longchanghe Iv Hydro,5,38.8808,99.7347,Hydro
China,Gansu Longwangtai,21,34.4672,104.0786,Hydro
China,Gansu Miaojiaba,240,34.6736,105.8431,Hydro
China,Gansu Mingjiazhuang,8,36.5592,102.8753,Hydro
China,Gansu Province Taoping,7,32.6014,104.1361,Hydro
China,Gansu Province Yangtian Smallscale,3,33.1942,105.6108,Hydro
China,Gansu Shuigouping Small,9,33.1878,104.4926,Hydro
China,Gansu Sunan Sidalong Stage 1,6,38.488,99.9717,Hydro
China,Gansu Sunan Xiyinghe Iii,8,37.809,100.0036,Hydro
China,Gansu Tanchang County Shawan,51,33.6245,104.5546,Hydro
China,Gansu Taohe Jili,20,35.023,103.767,Hydro
China,Gansu Taolai River Dongshuixia,52,39.4572,98.0217,Hydro
China,Gansu Taolaihe Sandaowan,90,39.5847,97.9994,Hydro
China,Gansu Wind Farm,6000,40.6876,95.7329,Wind
China,Gansu Wuwei,10,38.1,102.3,Solar
China,Gansu Wuwei Zamusi,23,37.7047,102.5825,Hydro
China,Gansu Xinmintan Expanded,10,35.5278,103.8203,Hydro
China,Gansu Yongchang Shuiquanzi,49,38.4306,101.5906,Wind
China,Gansu Yongjing Fuchuan,24,36.1475,103.2667,Hydro
China,Gansu Yumen Yueliangwan Second Cascade,17,39.88,96.83,Hydro
China,Gansu Zhangye,10,38.72,100.41,Solar
China,Gansu Zhangye Heihe Longhui Small Scale,13,25.1652,98.1672,Hydro
China,Gansu Zhangye Shimiao Stage 2,8,38.8856,100.3244,Hydro
China,Gansu Zhangye Yingke,7,38.8597,100.2997,Hydro
China,Gansu Zhouqu Lijie,6,33.7067,104.0956,Hydro
China,Gansu Zhouqu Shimenping,15,33.41,104.28,Hydro
China,Ganxipo Hydroelectric,75,30.0167,102.1167,Hydro
China,Gaobazhou Dam,252,30.3976,111.3406,Hydro
China,Gd Power Chuanshan Wind,45,29.8479,121.0341,Wind
China,Geermu PV,10,36.3765,95.2691,Solar
China,Geheyan,1200,30.47,111.14,Hydro
China,Gelantan Dam,390,22.7049,102.0574,Hydro
China,Gengsheng,37.6,44.63,122.71,Wind
China,Gezhen Dam,80,19.1801,108.9683,Hydro
China,Gezhouba,3190,30.7397,111.2695,Hydro
China,Golden Jumping Group,12,44.68,130.51,Solar
China,Golmud,200,36.4,95.157,Solar
China,Gong Guo Qiao,750,25.59,99.335,Hydro
China,Gongba River Small,13,33.245,104.019,Hydro
China,Gongbaolage,39.75,41.75,115.27,Wind
China,Gongboxia,1500,35.88,102.23,Hydro
China,Gongshan County Pula Hydro,24,27.7944,98.5875,Hydro
China,Gongshan County Qiqi,24,27.745,98.6053,Hydro
China,Gongzui,2100,29.31,103.48,Hydro
China,Gou Pi Tan,3000,27.3744,107.633,Hydro
China,Guadian Dam,2400,27.8221,101.9025,Hydro
China,Guandi,2400,27.82,101.88,Hydro
China,Guangdong Chaonan Chengtian Wind,49,23.1015,116.4304,Wind
China,Guangdong Chaonan Shalong Wind,49,23.1083,116.4806,Wind
China,Guangdong Guanshan Wind,49,23.038,116.2994,Wind
China,Guangdong Hejiang,7,24.16,115.57,Hydro
China,Guangdong Jiahu,48,22.81,115.93,Wind
China,Guangdong Lankou Hydro,26,23.9322,115.0456,Hydro
China,Guangdong Leiling Wind,49,23.1283,116.3722,Wind
China,Guangdong Liucheng Hydro,25,24.015,115.11,Hydro
China,Guangdong Nanao Huaneng Wind,45,23.36,116.6783,Wind
China,Guangdong Shaoguan Yizhou Hydro,20,24.8492,113.5378,Hydro
China,Guangdong Taishan Shangchuandao Island Phase 1,48,21.5806,112.7697,Wind
China,Guangdong Taishan Shangchuandao Island Phase 2,36,21.6058,112.77,Wind
China,Guangdong Wenbiling Wind,49,21.6351,111.6516,Wind
China,Guangdong Xinyi Qianpai Wind,49,22.3308,111.2414,Wind
China,Guangdong Zhanjiang Yangqian Wind,49,20.5803,110.4825,Wind
China,Guangdong hanergy,10,36.42,95.2,Solar
China,Guangrun,28,30.4226,109.557,Hydro
China,Guangxi Baise Dongsun,24,23.9108,112.5038,Hydro
China,Guangxi Baise Tianlin Baile,21,24.6236,106.195,Hydro
China,Guangxi Baise Tianlin Dongba,72,24.0983,105.6508,Hydro
China,Guangxi Bajiangkou,90,24.375,110.7486,Hydro
China,Guangxi Changtang,9,24.1451,109.755,Hydro
China,Guangxi Guilin Dayun Smallscale,11,25.8222,109.8881,Hydro
China,Guangxi Jindong,10,25.5761,108.7564,Hydro
China,Guangxi Liuzhou Luzhai County Luoqingjiang Xian,18,24.701,109.8467,Hydro
China,Guangxi Longsheng Furong River,25,25.8964,110.1326,Hydro
China,Guangxi Longsheng Lejiang,4,25.9139,109.875,Hydro
China,Guangxi Nabi,48,24.1219,105.7961,Hydro
China,Guangxi Qiaogong,456,23.6253,108.9461,Hydro
China,Guangxi Tianlin County Weimi,16,24.2911,104.6928,Hydro
China,Guangxi Wacun,230,24.1747,105.9683,Hydro
China,Guangxi Xiafu Hydro,49,23.467,110.25,Hydro
China,Guangxi Xinglong Small,10,25.8788,110.1155,Hydro
China,Guangxi Yizhou Sancha,21,24.4811,108.8564,Hydro
China,Guangxi Youjiang Naji Dam,66,23.78,106.77,Hydro
China,Guangxi Yulin Darongshan Wind,25,22.8722,110.2332,Wind
China,Guangxi Ziyuan Jinzishan,49,26.1642,110.5211,Wind
China,Guangzhoao Dam,1040,25.96,105.25,Hydro
China,Guangzhou Pump Storage,2400,23.7657,113.9536,Hydro
China,Guanmenyan,33,29.3132,110.4816,Hydro
China,Guanyinge Dam,19.5,41.3149,124.1499,Hydro
China,Guanyinyan,3000,26.52,101.44,Hydro
China,Gucheng Heibaishuihe Tianshengqiao Hydro,6,27.1547,100.3927,Hydro
China,Guertu River Cascade Stage 3,13,44.3117,83.8517,Hydro
China,Guertu River Cascade Stage 4,20,44.3117,83.8517,Hydro
China,Guihua Small,12,32.29,108.58,Hydro
China,Guizhou Beilei Hydro,8,25.75,108.6875,Hydro
China,Guizhou Dushan Heishen River Cascade,14,25.7661,107.5972,Hydro
China,Guizhou Huidong,50,25.38,106.3039,Hydro
